place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJ_6FWNvtvdTERR4612VUSaTE,Mint Coffee & Tea,Nơi thư giãn và làm việc của các bạn trẻ,,44,4.5,"Name: MON COFFEE & TEA
Link: https://www.google.com/maps/search/MON+COFFEE+%26+TEA/@10.336582,107.0849637?authuser=0&hl=vi&entry=ttu
Reviews: 47 reviews

Name: Cafe Minh Tâm
Link: https://www.google.com/maps/search/Cafe+Minh+T%C3%A2m/@10.357010599999999,107.09398209999999?authuser=0&hl=vi&entry=ttu
Reviews: 11 reviews

Name: Mùi Tea
Link: https://www.google.com/maps/search/M%C3%B9i+Tea/@10.359385699999999,107.09460109999999?authuser=0&hl=vi&entry=ttu
Reviews: 3 reviews

Name: 𝐌𝐎𝐍 𝐦𝐢𝐥𝐤 𝐭𝐞𝐚
Link: https://www.google.com/maps/search/%F0%9D%90%8C%F0%9D%90%8E%F0%9D%90%8D+%F0%9D%90%A6%F0%9D%90%A2%F0%9D%90%A5%F0%9D%90%A4+%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%9A/@10.3634199,107.0855837?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",,0972 066 188,,Mint Coffee & Tea (Chủ sở hữu),https://www.google.com/maps/contrib/112996622985594878068,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweDS8ScixHnUdJLoTjsKFpFXjXuVfYhxJ0DBAEUhnqHslOHwC1K8xTGQdfoTFPyKh-iu5EsOl7qF9RbTdFA0HOybQntJLsNYg978DSGM0b1QuY4y7VW-EsPvjPThdhzgbrCeoIWw=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"58A Trần Bình Trọng, P.8, Vũng Tàu, Bà Rịa - Vũng Tàu 78211",,https://www.google.com/maps/place/Mint+Coffee+%26+Tea/data=!4m7!3m6!1s0x31756ffb3656a1ff:0x31691255d9b58e47!8m2!3d10.3589951!4d107.0961977!16s%2Fg%2F11t6wj0jvq!19sChIJ_6FWNvtvdTERR4612VUSaTE?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJFbzD6SlvdTEReHIMmHu4iBY,Cửa Hàng Cà Phê Đèn Dầu Vũng Tàu,"Cửa Hàng Cà Phê Đèn Dầu mang phong cách hoài cổ, đưa quí khách ngược dòng thời gian về lại những năm 1970-1980 với không gian an yên thư giãn nhẹ nhàng cùng những ca khúc được thu âm trước năm 1975. Thực đơn đa dạng giá cả bình dân phục vụ, chắc chắn sẽ là 1 nơi lý tưởng để quí khách có 1 không gian bình yên cùng bạn bè, người thân và có những bức ảnh chất lừ do chính bạn chụp hoặc anh chủ quán thân thiện ( là 1 nhiếp ảnh gia ) chụp . Chần chờ gì mà chưa ghé Đèn Dầu ?!",,24,4.5,"Name: Đen Cafe and Tea
Link: https://www.google.com/maps/search/%C4%90en+Cafe+and+Tea/@10.3422269,107.0778125?authuser=0&hl=vi&entry=ttu
Reviews: 169 reviews

Name: Trung Nguyên E-Coffee
Link: https://www.google.com/maps/search/Trung+Nguy%C3%AAn+E-Coffee/@10.3514366,107.07219800000001?authuser=0&hl=vi&entry=ttu
Reviews: 13 reviews

Name: D' Mys Cafe
Link: https://www.google.com/maps/search/D'+Mys+Cafe/@10.350755800000002,107.0714533?authuser=0&hl=vi&entry=ttu
Reviews: 6 reviews

Name: Cafe Anh Hiếu - Cafe pha máy
Link: https://www.google.com/maps/search/Cafe+Anh+Hi%E1%BA%BFu+-+Cafe+pha+m%C3%A1y/@10.353684699999999,107.0731488?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",,0937 863 993,1,Cửa Hàng Cà Phê Đèn Dầu Vũng Tàu (Chủ sở hữu),https://www.google.com/maps/contrib/101808147593275362604,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwthsYBHRaFjwGMt8Ewm5c4jyrcUD3UjZFMrU5xWL9iplCb6SvCCANY7KC7sG9kLFYj63jvKOHxPN7zlrwWSnJq6JjMmriTUTo4ozk4nBvGoztXsWNLIPKWiFgtt5bk50uft3s=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"78 Lê Ngọc Hân, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu 790000",,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+C%C3%A0+Ph%C3%AA+%C4%90%C3%A8n+D%E1%BA%A7u+V%C5%A9ng+T%C3%A0u/data=!4m7!3m6!1s0x31756f29e9c3bc15:0x1688b87b980c7278!8m2!3d10.3536759!4d107.0731457!16s%2Fg%2F11rz2fyzs2!19sChIJFbzD6SlvdTEReHIMmHu4iBY?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJCWyunkJvdTERiweT1OMiSmU,Cheeky Monkey Coffee,"“Thiên đường trò chơi kết hợp quán cafe với phong cách vô cùng dễ thương và hiện đại""",,47,4.3,"Name: Zone 82 Coffee And Children Playground
Link: https://www.google.com/maps/search/Zone+82+Coffee+And+Children+Playground/@10.344434699999999,107.0863378?authuser=0&hl=vi&entry=ttu
Reviews: 241 reviews

Name: Cà phê Nét Xưa Vũng Tàu
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+N%C3%A9t+X%C6%B0a+V%C5%A9ng+T%C3%A0u/@10.3539364,107.0914754?authuser=0&hl=vi&entry=ttu
Reviews: 188 reviews

Name: Cafe
Link: https://www.google.com/maps/search/Cafe/@10.398417,107.117736?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews

Name: Cafe - Khu vui chơi trẻ em BALI
Link: https://www.google.com/maps/search/Cafe+-+Khu+vui+ch%C6%A1i+tr%E1%BA%BB+em+BALI/@10.383574200000002,107.1157976?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",https://www.facebook.com/CheekyMonkeyCF,0254 6555 888,,Cheeky Monkey Coffee (Chủ sở hữu),https://www.google.com/maps/contrib/110694868897200848335,https://lh3.googleusercontent.com/p/AF1QipPyq-1gcmLqfk9VxIpEhF3dtZ9jKYroubvTIL_T=s1024,Quán ăn dành cho trẻ em,Quán ăn dành cho trẻ em,,,Open All Days,"311 Bình Giã, Phường 8, Vũng Tàu, Bà Rịa - Vũng Tàu 02543",,https://www.google.com/maps/place/Cheeky+Monkey+Coffee/data=!4m7!3m6!1s0x31756f429eae6c09:0x654a22e3d493078b!8m2!3d10.3609736!4d107.0930219!16s%2Fg%2F11tnkb3wf_!19sChIJCWyunkJvdTERiweT1OMiSmU?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJiyAdhxVvdTERLfla95UkHUg,Cộng Cà Phê,"Cộng Cà Phê - nơi kinh doanh dịch vụ giải khát một cách nghiêm túc, nơi mà kí ức và hoài niệm ùa về trong một không gian nghệ thuật được lấy cảm hứng từ xã hội Việt Nam những năm 80 về trước...",,172,4.1,"Name: Cà phê Ông già
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+%C3%94ng+gi%C3%A0/@10.3510283,107.0738296?authuser=0&hl=vi&entry=ttu
Reviews: 346 reviews

Name: Cà phê ông già
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+%C3%B4ng+gi%C3%A0/@10.347436199999999,107.0759877?authuser=0&hl=vi&entry=ttu
Reviews: 165 reviews

Name: Mộng coffee
Link: https://www.google.com/maps/search/M%E1%BB%99ng+coffee/@10.3550697,107.0865115?authuser=0&hl=vi&entry=ttu
Reviews: 157 reviews

Name: Cóc Cóc Coffee
Link: https://www.google.com/maps/search/C%C3%B3c+C%C3%B3c+Coffee/@10.3487952,107.07554879999999?authuser=0&hl=vi&entry=ttu
Reviews: 49 reviews

Name: CAFE CÓC
Link: https://www.google.com/maps/search/CAFE+C%C3%93C/@10.3364689,107.08644509999999?authuser=0&hl=vi&entry=ttu
Reviews: 4 reviews",https://congcaphe.com/,0911 186 620,,Cộng Cà Phê (Chủ sở hữu),https://www.google.com/maps/contrib/115283378777098347418,https://lh3.googleusercontent.com/p/AF1QipO2ODK13TkuWND2L3dFDuumbb2ht5pQ5AGEIq6V=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"4 Thống Nhất, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu 78000",,https://www.google.com/maps/place/C%E1%BB%99ng+C%C3%A0+Ph%C3%AA/data=!4m7!3m6!1s0x31756f15871d208b:0x481d2495f75af92d!8m2!3d10.3455316!4d107.0770571!16s%2Fg%2F11swl413mh!19sChIJiyAdhxVvdTERLfla95UkHUg?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJOSop8DlldTERVL-M7vsswuE,Highlands Coffee 75 Thùy Vân Vũng Tàu,,,287,4.3,"Name: Highlands Coffee 24 Ha Long Vung Tau
Link: https://www.google.com/maps/search/Highlands+Coffee+24+Ha+Long+Vung+Tau/@10.328106499999999,107.0804857?authuser=0&hl=vi&entry=ttu
Reviews: 757 reviews

Name: Highlands Coffee 199 Nam Kỳ Khởi Nghĩa – Vũng Tàu
Link: https://www.google.com/maps/search/Highlands+Coffee+199+Nam+K%E1%BB%B3+Kh%E1%BB%9Fi+Ngh%C4%A9a+%E2%80%93+V%C5%A9ng+T%C3%A0u/@10.3513252,107.0862863?authuser=0&hl=vi&entry=ttu
Reviews: 120 reviews

Name: High coffe
Link: https://www.google.com/maps/search/High+coffe/@10.341624999999999,107.083823?authuser=0&hl=vi&entry=ttu
Reviews: 12 reviews

Name: Cafe Sài Gòn
Link: https://www.google.com/maps/search/Cafe+S%C3%A0i+G%C3%B2n/@10.3333249,107.0889414?authuser=0&hl=vi&entry=ttu
Reviews: 12 reviews

Name: Green Highland Coffee Vũng Tàu
Link: https://www.google.com/maps/search/Green+Highland+Coffee+V%C5%A9ng+T%C3%A0u/@10.383241,107.10616929999999?authuser=0&hl=vi&entry=ttu
Reviews: 9 reviews",https://www.highlandscoffee.com.vn/,0254 7302 026,,Highlands Coffee 75 Thùy Vân Vũng Tàu (Chủ sở hữu),https://www.google.com/maps/contrib/113503343394924987465,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyU3woQO3NMgN2JByb3qUbN06sJx6VNce9J2y79bpyl2YCXnFwrF-FWliDcZOAlN0v33Dq3sCvTOvufFTFM7wmoYYzcuOREBueaBHem0A73ArVOGmHbpmx1huz-qWFhj0MLft98mw=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"75 Thùy Vân, P.2, Vũng Tàu, Bà Rịa - Vũng Tàu 78000",,https://www.google.com/maps/place/Highlands+Coffee+75+Th%C3%B9y+V%C3%A2n+V%C5%A9ng+T%C3%A0u/data=!4m7!3m6!1s0x31756539f0292a39:0xe1c22cfbee8cbf54!8m2!3d10.3322911!4d107.0890383!16s%2Fg%2F11s8j53k7z!19sChIJOSop8DlldTERVL-M7vsswuE?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJAfKlTwxvdTERhMydYcofnBE,Ngõ Thơm,,,42,4.6,"Name: Moment Coffee
Link: https://www.google.com/maps/search/Moment+Coffee/@10.3464523,107.08049779999999?authuser=0&hl=vi&entry=ttu
Reviews: 99 reviews

Name: Tổ hợp Tớ Muốn Béo
Link: https://www.google.com/maps/search/T%E1%BB%95+h%E1%BB%A3p+T%E1%BB%9B+Mu%E1%BB%91n+B%C3%A9o/@10.356748699999999,107.0773529?authuser=0&hl=vi&entry=ttu
Reviews: 52 reviews

Name: Cà Phê Giọt Nắng
Link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+Gi%E1%BB%8Dt+N%E1%BA%AFng/@10.3540292,107.0873429?authuser=0&hl=vi&entry=ttu
Reviews: 37 reviews

Name: cà phê ống - Vũng Tàu
Link: https://www.google.com/maps/search/c%C3%A0+ph%C3%AA+%E1%BB%91ng+-+V%C5%A9ng+T%C3%A0u/@10.3347781,107.08702339999999?authuser=0&hl=vi&entry=ttu
Reviews: 12 reviews

Name: Góc của Méo
Link: https://www.google.com/maps/search/G%C3%B3c+c%E1%BB%A7a+M%C3%A9o/@10.399433799999999,107.1157001?authuser=0&hl=vi&entry=ttu
Reviews: No Reviews reviews",,0907 386 975,1,Ngõ Thơm (Chủ sở hữu),https://www.google.com/maps/contrib/103807296865247136907,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyx0U59yySn0p3DXqiCPJBdvHvYclgtfb0QYs3PCqk4GGkoXaXWGzKoMv3L7hGIfzpPST9WgtG6X6XuZTd1XfwhmM8ZOlYIZPgJwIYGOQPbfPttFQ_ZBMqOHZZSZiVpJ8yerYWVG6nmS68K=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"152/7/4 Ba Cu, Phường 1, Vũng Tàu, Bà Rịa - Vũng Tàu 78200",,https://www.google.com/maps/place/Ngo%CC%83+Th%C6%A1m/data=!4m7!3m6!1s0x31756f0c4fa5f201:0x119c1fca619dcc84!8m2!3d10.3511552!4d107.0801863!16s%2Fg%2F11j8hz5lc0!19sChIJAfKlTwxvdTERhMydYcofnBE?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJ63p95z9vdTERwfZ4N-a1q7k,The View Hải Đăng,,,204,4.2,"Name: Lightroom Coffee
Link: https://www.google.com/maps/search/Lightroom+Coffee/@10.3369424,107.072302?authuser=0&hl=vi&entry=ttu
Reviews: 719 reviews

Name: Cafe Hải Đăng Xưa
Link: https://www.google.com/maps/search/Cafe+H%E1%BA%A3i+%C4%90%C4%83ng+X%C6%B0a/@10.3383898,107.0765978?authuser=0&hl=vi&entry=ttu
Reviews: 291 reviews

Name: Sơn Đăng Cafe
Link: https://www.google.com/maps/search/S%C6%A1n+%C4%90%C4%83ng+Cafe/@10.3353781,107.0789398?authuser=0&hl=vi&entry=ttu
Reviews: 253 reviews

Name: Cà Phê View Biển Aria
Link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+View+Bi%E1%BB%83n+Aria/@10.3736496,107.127342?authuser=0&hl=vi&entry=ttu
Reviews: 24 reviews

Name: Moutain Light
Link: https://www.google.com/maps/search/Moutain+Light/@10.3353672,107.0789552?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews",,0907 050 653,,The View Hải Đăng (Chủ sở hữu),https://www.google.com/maps/contrib/104045968811816159176,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznBu94eseelI-T87MpZ8kZQu1zx2hPWaPdwptTt13dqYLjl100N_x1-4hqBksgeNT_UM2JSBNXJyJjyj3ZrIUyL5KK_qz5dtFwva05sX5BxHVK1fokcJunlUDl0Or-JcZvBy3DSuac8tZP=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"City, 12 Hải Đăng, Phường 2, Vũng Tàu, Bà Rịa - Vũng Tàu 78000",,https://www.google.com/maps/place/The+View+H%E1%BA%A3i+%C4%90%C4%83ng/data=!4m7!3m6!1s0x31756f3fe77d7aeb:0xb9abb5e63778f6c1!8m2!3d10.3399685!4d107.0743088!16s%2Fg%2F11swy1fr_0!19sChIJ63p95z9vdTERwfZ4N-a1q7k?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJQfpqmrhvdTERMbLOf8re1OM,Ocean House,Seaview café & Restaurant with delicious Seafood Fusion Cuisine,,578,3.8,"Name: Nhà Hàng Ocean Bay Vũng Tàu
Link: https://www.google.com/maps/search/Nh%C3%A0+H%C3%A0ng+Ocean+Bay+V%C5%A9ng+T%C3%A0u/@10.380616,107.0559073?authuser=0&hl=vi&entry=ttu
Reviews: 373 reviews

Name: Ocean Coffee , Restaurant and Bar
Link: https://www.google.com/maps/search/Ocean+Coffee+%2C+Restaurant+and+Bar/@10.3309562,107.0745678?authuser=0&hl=vi&entry=ttu
Reviews: 188 reviews

Name: Ocean Beer
Link: https://www.google.com/maps/search/Ocean+Beer/@10.3573609,107.07841619999999?authuser=0&hl=vi&entry=ttu
Reviews: 83 reviews

Name: Quán hải sản Hải Sơn
Link: https://www.google.com/maps/search/Qu%C3%A1n+h%E1%BA%A3i+s%E1%BA%A3n+H%E1%BA%A3i+S%C6%A1n/@10.368026,107.0627703?authuser=0&hl=vi&entry=ttu
Reviews: 25 reviews

Name: Coffee House
Link: https://www.google.com/maps/search/Coffee+House/@10.3760892,107.0883034?authuser=0&hl=vi&entry=ttu
Reviews: 9 reviews",,0254 6522 663,,Ocean House (Chủ sở hữu),https://www.google.com/maps/contrib/108735260405748371455,https://lh3.googleusercontent.com/p/AF1QipNcieriDbSILCNV_OKPiJYwYLWRtrg-ML_6jmUQ=s1024,Nhà hàng,"Nhà hàng, Nhà hàng chuyên phục vụ bữa nửa buổi, Quán cà phê",,,Open All Days,"63 Trần Phú, Phường 5, Vũng Tàu, Bà Rịa - Vũng Tàu 720000",,https://www.google.com/maps/place/Ocean+House/data=!4m7!3m6!1s0x31756fb89a6afa41:0xe3d4deca7fceb231!8m2!3d10.3671726!4d107.0626407!16s%2Fg%2F11g2xck6v6!19sChIJQfpqmrhvdTERMbLOf8re1OM?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJFeHuHPNvdTERqpH0n0RoxEk,Zone 82 Coffee And Children Playground,Quán cà phê kết hợp khu vui chơi cho trẻ em.,,241,4.3,"Name: Khu Vui Chơi Petit Palais Vũng Tàu - Premium Kidsplay & Cafe
Link: https://www.google.com/maps/search/Khu+Vui+Ch%C6%A1i+Petit+Palais+V%C5%A9ng+T%C3%A0u+-+Premium+Kidsplay+%26+Cafe/@10.3496692,107.09805949999999?authuser=0&hl=vi&entry=ttu
Reviews: 138 reviews

Name: Khu Vui Chơi BON KIDS - Coffee Tea
Link: https://www.google.com/maps/search/Khu+Vui+Ch%C6%A1i+BON+KIDS+-+Coffee+Tea/@10.362043,107.0882354?authuser=0&hl=vi&entry=ttu
Reviews: 46 reviews

Name: KHU VUI CHƠI TRẺ EM & CAFE - BEE 176 nguyễn thị Minh khai P8
Link: https://www.google.com/maps/search/KHU+VUI+CH%C6%A0I+TR%E1%BA%BA+EM+%26+CAFE+-+BEE+176+nguy%E1%BB%85n+th%E1%BB%8B+Minh+khai+P8/@10.35172,107.0923134?authuser=0&hl=vi&entry=ttu
Reviews: 32 reviews

Name: Turbo Kids Vung Tau
Link: https://www.google.com/maps/search/Turbo+Kids+Vung+Tau/@10.3376209,107.0860684?authuser=0&hl=vi&entry=ttu
Reviews: 15 reviews

Name: Cafe Bóng Đá K+ 368 Kids Coffee
Link: https://www.google.com/maps/search/Cafe+B%C3%B3ng+%C4%90%C3%A1+K%2B+368+Kids+Coffee/@10.3566915,107.08279290000002?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",https://m.facebook.com/Zone82.Coffee/,0919 972 269,,Zone 82 Coffee And Children Playground (Chủ sở hữu),https://www.google.com/maps/contrib/105420144168192840252,https://lh3.googleusercontent.com/p/AF1QipMESf_h3d47XMjrL7Ajpb5gNlss_PFVRDgCxSTT=s1024,Quán cà phê,"Quán cà phê, Trung tâm vui chơi dành cho trẻ em",,,Open All Days,"82/8 Xô Viết Nghệ Tĩnh, Phường Thắng Tam, Vũng Tàu, Bà Rịa - Vũng Tàu 78210",,https://www.google.com/maps/place/Zone+82+Coffee+And+Children+Playground/data=!4m7!3m6!1s0x31756ff31ceee115:0x49c468449ff491aa!8m2!3d10.3444347!4d107.0863378!16s%2Fg%2F11g046870t!19sChIJFeHuHPNvdTERqpH0n0RoxEk?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
ChIJYb-i3MVvdTERzGcwSXVNInk,GA VUNG TAU coffee,,,53,4.2,"Name: Trạm Cà Phê
Link: https://www.google.com/maps/search/Tr%E1%BA%A1m+C%C3%A0+Ph%C3%AA/@10.3643986,107.0846824?authuser=0&hl=vi&entry=ttu
Reviews: 83 reviews

Name: GH Cafe
Link: https://www.google.com/maps/search/GH+Cafe/@10.363584,107.0927744?authuser=0&hl=vi&entry=ttu
Reviews: 15 reviews

Name: Cafe Vũng Tàu
Link: https://www.google.com/maps/search/Cafe+V%C5%A9ng+T%C3%A0u/@10.3622537,107.09473799999999?authuser=0&hl=vi&entry=ttu
Reviews: 8 reviews

Name: Cafe 40
Link: https://www.google.com/maps/search/Cafe+40/@10.3654496,107.0853448?authuser=0&hl=vi&entry=ttu
Reviews: 2 reviews

Name: Cà phê vỉa hè
Link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+v%E1%BB%89a+h%C3%A8/@10.3653464,107.07607039999999?authuser=0&hl=vi&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/gavungtau.coffee/,0934 311 944,1,GA VUNG TAU coffee (Chủ sở hữu),https://www.google.com/maps/contrib/109128690932892596872,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwh37lD9lAe6dbJZ2R2DKrJ0-mPZi0p9w91pnequ5XIAKRePRNUNxJbKpmIeLrKNWcZkmqR44xTy2Z9JiQX9YWDs5Zsog7oXksz-8brxZUgq4zrFbnKohyvs8XwgusMbeLD66w=s1024,Quán cà phê,Quán cà phê,,,Open All Days,"5K2 Trung Tâm Thương Mại, Phường 7, Vũng Tàu, Bà Rịa - Vũng Tàu 008454",,https://www.google.com/maps/place/GA+VUNG+TAU+coffee/data=!4m7!3m6!1s0x31756fc5dca2bf61:0x79224d75493067cc!8m2!3d10.3646972!4d107.0842317!16s%2Fg%2F11c2pzjzm0!19sChIJYb-i3MVvdTERzGcwSXVNInk?authuser=0&hl=vi&rclk=1,cà phê ở vũng tàu
